iteration,agent_index,global_agent_index,agent_role,model_used,avg_choice_A_prob,avg_choice_B_prob,avg_choice_C_prob,avg_variance,avg_entropy,avg_gini,avg_uniform_kl,questions_processed
1,1,1,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.30000000000000004,0.32285714285714295,0.3771428571428572,0.032603174603174606,1.3682227367406274,0.2666666666666666,0.2167397639805288,70
1,2,2,You are a knowledgeable and caring doctor,gpt-4o-mini,0.3085714285714286,0.33714285714285713,0.3528571428571428,0.015333333333333332,1.4855720320287649,0.17619047619047618,0.09939046869239172,70
1,3,3,You are a practical engineer,gpt-4o-mini,0.3114285714285715,0.32285714285714284,0.36142857142857143,0.017650793650793643,1.469079008052663,0.18899470899470897,0.11588349266849386,70
1,4,4,You are a precise lawyer,gpt-4o-mini,0.31428571428571433,0.33714285714285713,0.3414285714285714,0.014634920634920636,1.4877514402464915,0.16920634920634922,0.09721106047466525,70
1,5,5,You are a clever merchant,gpt-4o-mini,0.31857142857142856,0.34,0.3371428571428572,0.018222222222222223,1.464513936112346,0.1949206349206349,0.12044856460881075,70
1,6,6,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.28571428571428575,0.3357142857142857,0.3785714285714285,0.052984126984126995,1.248286339631988,0.3361904761904761,0.33667616108916865,70
2,1,7,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.2671428571428572,0.31857142857142867,0.4142857142857143,0.06650793650793652,1.1541130471636107,0.38285714285714284,0.4297411910676709,70
2,2,8,You are a knowledgeable and caring doctor,gpt-4o-mini,0.31428571428571433,0.32857142857142857,0.3571428571428571,0.017841269841269835,1.4687547029425898,0.19809523809523805,0.11620779777856721,70
2,3,9,You are a practical engineer,gpt-4o-mini,0.3114285714285715,0.3285714285714286,0.35999999999999993,0.02012698412698412,1.4524548321794226,0.2104761904761904,0.13250766854173449,70
2,4,10,You are a precise lawyer,gpt-4o-mini,0.3157142857142857,0.34285714285714286,0.33999999999999997,0.014952380952380948,1.4869067103412474,0.17523809523809522,0.09805579037990936,70
2,5,11,You are a clever merchant,gpt-4o-mini,0.30428571428571427,0.32999999999999996,0.3657142857142857,0.020888888888888887,1.446109085574438,0.2095238095238095,0.1387008923504029,70
2,6,12,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.29571428571428576,0.32285714285714284,0.38142857142857145,0.0627936507936508,1.180185207443452,0.37523809523809515,0.4041694764295943,70
3,1,13,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.2814285714285715,0.32428571428571434,0.39428571428571424,0.07546031746031745,1.091694006543083,0.40666666666666657,0.4913700968253169,70
3,2,14,You are a knowledgeable and caring doctor,gpt-4o-mini,0.31714285714285717,0.32999999999999996,0.3514285714285714,0.017809523809523806,1.469162389455334,0.19640211640211636,0.11580011126582299,70
3,3,15,You are a practical engineer,gpt-4o-mini,0.3128571428571429,0.3371428571428572,0.34714285714285714,0.021301587301587297,1.447897106572807,0.21280423280423275,0.13706539414834962,70
3,4,16,You are a precise lawyer,gpt-4o-mini,0.31857142857142856,0.3414285714285714,0.3371428571428572,0.013492063492063491,1.4960992934393127,0.168042328042328,0.08886320728184428,70
3,5,17,You are a clever merchant,gpt-4o-mini,0.32142857142857145,0.33428571428571424,0.34142857142857147,0.019015873015873014,1.4600028886949445,0.208042328042328,0.12495961202621245,70
3,6,18,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.30142857142857143,0.3314285714285714,0.3671428571428571,0.06622222222222224,1.1564393284037526,0.38476190476190464,0.4275841243699417,70
4,1,19,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.3071428571428572,0.32285714285714295,0.37,0.07574603174603176,1.0858906455676751,0.4085714285714284,0.4970065175954661,70
4,2,20,You are a knowledgeable and caring doctor,gpt-4o-mini,0.32571428571428573,0.33285714285714285,0.3414285714285714,0.019460317460317456,1.4589354038483964,0.20476190476190473,0.12602709687276087,70
4,3,21,You are a practical engineer,gpt-4o-mini,0.31571428571428567,0.33428571428571424,0.35,0.023269841269841267,1.4321328358794094,0.22190476190476188,0.1526794163825851,70
4,4,22,You are a precise lawyer,gpt-4o-mini,0.32571428571428573,0.3414285714285714,0.3314285714285714,0.016380952380952375,1.4739627803637152,0.18402116402116397,0.11085116604842594,70
4,5,23,You are a clever merchant,gpt-4o-mini,0.33142857142857135,0.3385714285714286,0.3285714285714286,0.018952380952380946,1.459416658959358,0.20973544973544966,0.1255458417617991,70
4,6,24,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.31285714285714294,0.33285714285714285,0.35428571428571426,0.06584126984126985,1.1637631222798068,0.3838095238095237,0.420584342169769,70
